Srl No.,I generally plan my expenses and never spend more than my budget ,I often take opinions or check reviews before buying,I often experiment with new brands rather than just sticking to old ones ,I like to spend my weekends with friends than staying at home . ,My favorite subjects in school were Mathematics & Science rather than Literature,"I make it a point to do some physical exercises (like swimming, walking, yoga) almost everyday","When I go out for shopping, I end up buying more items just by impulse",I am active on almost all Social media  ,"I like light, sober colors to bright, exciting colors when it comes to clothing ",I prefer watching videos/shows online rather than watching them in the television,I prefer ordering in from online apps than dining out,"I follow Brands, celebrities, influencers on social media",I always try to keep up with new fashion trends,I prefer reading or listening to music rather than exercising or playing a sport,Which company's mobile phone do you use ?,From where did you purchase your phone?,Which flavor of soft drink do you like to have the most ?,Given below is a list of products. Please tell us how frequently do you use these products  [Shower gels],Given below is a list of products. Please tell us how frequently do you use these products  [Hand sanitizers],Given below is a list of products. Please tell us how frequently do you use these products  [Facewashes],Given below is a list of products. Please tell us how frequently do you use these products  [Hair Conditioner],I generally read news from,I generally prefer to buy clothes from,Age ,Gender,Your hometown ?,Occupation 
601,7,8,4,5,10,1,5,4,7,8,3,3,0,8,Xiaomi,Online,Orange,Never,Less Often,Never,Never,Online,Online,24-28,Male,Other towns in East,Student
602,2,7,5,8,10,4,10,2,7,9,9,4,10,8,Others,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
603,4,9,9,6,4,3,9,10,5,5,5,7,4,9,Xiaomi,Retail,Fruit flavour,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Bangalore,Student
604,7,5,3,2,1,0,3,6,5,7,2,1,8,9,Samsung,Retail,Cola,Never,Never,Everyday,Everyday,Online,Retail Stores,18-23,Female,Mumbai,Student
605,5,9,3,3,10,1,8,5,2,7,8,2,5,8,Xiaomi,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Mumbai,Student
606,6,6,5,6,6,3,1,5,5,5,5,2,5,5,Others,Retail,Cola,Never,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in West,Student
607,8,7,8,4,10,6,3,7,2,5,2,1,8,4,One Plus,Online,Cola,Never,Never,Less Often,Never,Newspaper,Retail Stores,24-28,Male,Other towns in West,Student
608,8,8,7,2,8,8,2,2,8,7,8,3,2,0,Xiaomi,Online,I do not consume soft drinks at all,Never,Never,Never,Never,Newspaper,Online,24-28,Male,Mumbai,Student
609,3,5,4,5,1,9,7,8,8,10,3,8,5,2,One Plus,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Other towns in West,Student
610,2,4,9,7,5,1,10,8,6,10,0,7,10,10,One Plus,Online,Cola,Never,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Female,Other towns in West,Student
611,9,8,7,6,8,3,8,8,8,9,2,7,3,6,Others,Online,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Kolkata,Student
612,4,8,8,5,2,4,0,0,6,8,8,0,4,5,Xiaomi,Online,Cola,Never,Everyday,Less Often,Never,Online,Online,24-28,Male,Kolkata,Student
613,8,6,3,8,9,9,10,10,7,3,3,4,8,2,Apple,Retail,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Delhi,Student
614,8,8,5,3,7,4,5,2,8,7,3,2,4,8,Others,Online,White/Colourless,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in West,Student
615,4,3,6,4,4,0,8,3,7,8,3,2,2,5,Vivo,Retail,White/Colourless,Less Often,Less Often,Never,Less Often,Online,Retail Stores,24-28,Female,Other towns in South,Student
616,6,9,5,7,8,1,7,8,3,8,3,8,2,5,One Plus,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
617,8,8,10,8,5,3,7,10,10,10,7,10,10,5,One Plus,Online,White/Colourless,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,18-23,Female,Mumbai,Student
618,3,6,6,7,6,2,7,8,5,5,4,7,7,7,Vivo,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Online,18-23,Female,Other towns in North,Student
619,7,8,5,4,9,2,7,5,7,9,3,6,6,7,Xiaomi,Online,Orange,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
620,3,9,7,8,7,3,7,7,8,8,6,6,6,9,Apple,Retail,Cola,Less Often,Never,Less Often,Less Often,Online,Retail Stores,24-28,Male,Other towns in North,Student
621,1,4,5,3,5,2,9,6,3,10,5,9,7,6,Apple,Online,I do not consume soft drinks at all,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Mumbai,Student
622,7,8,6,5,5,6,7,5,4,9,7,6,9,4,One Plus,Online,Fruit flavour,Less Often,Everyday,Everyday,Never,Online,Retail Stores,29-33,Male,Delhi,Student
623,9,7,9,6,8,7,4,3,5,6,2,2,9,4,Xiaomi,Online,Fruit flavour,Everyday,Less Often,Everyday,Everyday,Newspaper,Retail Stores,18-23,Female,Delhi,Student
624,5,7,6,5,9,6,3,4,8,8,5,6,6,5,Xiaomi,Online,Cola,Never,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in West,Student
625,4,6,8,5,1,1,8,6,1,9,5,0,1,8,Oppo,Retail,Cola,Everyday,Less Often,Less Often,Less Often,Online,Online,18-23,Female,Mumbai,Student
626,1,8,4,3,9,2,8,1,5,9,2,2,6,6,One Plus,Online,Cola,Less Often,Never,Everyday,Less Often,Online,Online,24-28,Female,Kolkata,Student
627,8,5,5,5,7,3,8,7,9,9,8,2,2,10,Apple,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Mumbai,Student
628,9,9,9,5,9,6,7,4,7,9,9,6,8,6,Xiaomi,Online,White/Colourless,Less Often,Less Often,Less Often,Never,Online,Online,24-28,Female,Other towns in West,Student
629,8,8,6,9,2,10,3,6,7,9,3,3,7,4,Xiaomi,Online,White/Colourless,Everyday,Never,Everyday,Less Often,Online,Retail Stores,24-28,Male,Delhi,Student
630,7,8,9,10,10,7,8,7,5,9,4,5,9,5,One Plus,Online,Cola,Never,Never,Everyday,Less Often,Newspaper,Online,18-23,Male,Other towns in West,Student
631,1,10,6,10,10,6,10,6,10,5,4,5,10,1,Apple,Online,Fruit flavour,Everyday,Never,Everyday,Everyday,Online,Online,24-28,Male,Other towns in North,Student
632,7,10,1,8,5,7,4,8,7,8,3,5,8,2,Oppo,Retail,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in East,Student
633,3,9,6,4,9,0,9,4,5,10,3,8,3,10,Apple,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Delhi,Student
634,1,4,5,1,9,4,5,6,2,9,4,1,2,5,Others,Online,Orange,Never,Less Often,Everyday,Never,Online,Online,24-28,Male,Other towns in West,Student
635,8,2,8,8,5,0,8,6,10,10,3,7,10,9,Apple,Online,Orange,Everyday,Everyday,Everyday,Less Often,Online,Online,18-23,Female,Other towns in West,Student
636,8,9,9,5,10,4,8,6,9,10,4,7,4,3,One Plus,Online,White/Colourless,Never,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
637,4,2,4,5,5,4,2,6,8,3,6,3,2,8,Others,Online,White/Colourless,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Other towns in South,Student
638,7,9,5,5,5,4,4,3,5,5,3,2,0,4,Others,Online,Cola,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Delhi,Student
639,4,9,9,9,9,1,7,3,8,9,9,8,9,9,Apple,Online,Cola,Less Often,Everyday,Everyday,Everyday,Newspaper,Retail Stores,24-28,Male,Delhi,Student
640,7,9,8,5,5,2,6,6,4,8,2,3,1,10,Xiaomi,Online,Fruit flavour,Never,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
641,8,6,8,9,7,7,6,6,6,6,6,6,6,5,One Plus,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
642,8,10,8,8,8,6,3,0,5,8,8,3,5,7,Others,Online,Cola,Less Often,Never,Everyday,Never,Online,Online,24-28,Male,Kolkata,Student
643,7,9,6,5,3,7,2,7,10,10,3,3,6,3,One Plus,Online,Cola,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Mumbai,Student
644,3,8,6,1,1,5,8,7,7,5,8,6,3,8,Xiaomi,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Female,Delhi,Student
645,3,7,7,6,8,10,8,1,7,9,8,8,7,0,Others,Online,Fruit flavour,Never,Never,Everyday,Less Often,Online,Online,24-28,Female,Other towns in West,Student
646,1,9,7,2,5,0,10,1,10,10,5,10,9,3,One Plus,Retail,Cola,Never,Never,Everyday,Never,Online,Retail Stores,18-23,Male,Chennai,Student
647,4,8,8,7,10,5,10,9,0,7,5,7,9,0,Apple,Retail,Fruit flavour,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Delhi,Student
648,7,8,6,5,4,0,1,4,3,5,1,1,3,9,One Plus,Online,Orange,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Kolkata,Student
649,6,5,4,4,6,1,8,5,6,4,5,4,7,5,Apple,Retail,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Female,Delhi,Student
650,6,6,6,7,8,7,7,3,7,8,5,4,3,5,Apple,Online,Orange,Everyday,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in North,Student
651,9,8,7,4,5,2,4,4,6,8,4,3,3,5,Others,Online,White/Colourless,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Bangalore,Student
652,7,9,3,4,8,4,7,7,8,8,7,6,4,5,Apple,Online,Fruit flavour,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Female,Mumbai,Student
653,7,8,6,3,8,2,4,6,4,8,4,9,3,9,Xiaomi,Online,Orange,Never,Less Often,Less Often,Never,Online,Retail Stores,18-23,Male,Other towns in West,Student
654,10,5,10,5,0,0,6,5,10,5,5,0,7,4,Apple,Retail,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Delhi,Self Employed/business
655,4,9,6,5,6,3,6,8,7,7,9,9,3,8,Xiaomi,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
656,4,8,6,10,10,5,3,7,2,2,2,6,7,8,Xiaomi,Online,White/Colourless,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
657,4,10,8,5,3,3,8,3,10,10,10,3,9,10,One Plus,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
658,4,8,1,5,3,6,8,8,0,7,3,2,6,4,Samsung,Retail,Cola,Less Often,Never,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in North,Student
659,0,10,8,6,0,10,7,8,3,10,10,7,0,5,One Plus,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in West,Student
660,6,8,5,8,6,8,7,7,6,5,4,7,8,9,Apple,Retail,Cola,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Female,Mumbai,Student
661,7,7,9,6,10,10,9,6,4,10,8,8,7,4,Apple,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in West,Student
662,7,9,9,7,10,2,2,9,9,5,7,3,5,9,Apple,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
663,10,8,5,10,10,4,7,10,10,5,10,2,4,5,Xiaomi,Online,Orange,Less Often,Never,Less Often,Never,Online,Retail Stores,24-28,Male,Mumbai,Student
664,8,9,6,7,3,4,2,4,8,9,8,2,1,10,Samsung,Retail,I do not consume soft drinks at all,Never,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
665,4,9,8,9,1,3,9,8,5,8,4,7,5,8,Others,Online,Cola,Everyday,Less Often,Less Often,Less Often,Online,Retail Stores,24-28,Female,Mumbai,Student
666,7,9,8,4,7,8,9,9,6,8,5,7,9,4,One Plus,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Delhi,Student
667,8,9,9,9,8,8,9,8,8,8,8,9,9,7,Xiaomi,Online,Fruit flavour,Everyday,Less Often,Everyday,Everyday,Online,Online,18-23,Male,Other towns in North,Student
668,2,10,4,4,10,6,10,3,0,10,4,10,9,8,Others,Retail,I do not consume soft drinks at all,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Delhi,Student
669,2,8,2,9,9,5,2,8,1,9,1,7,4,3,One Plus,Online,Fruit flavour,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Other towns in South,Student
670,4,7,3,5,9,2,3,6,5,8,3,3,1,9,One Plus,Retail,Cola,Less Often,Never,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
671,7,9,7,5,8,5,3,8,5,8,5,3,5,5,Apple,Retail,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in West,Student
672,5,8,5,7,8,2,4,2,8,8,5,2,4,8,One Plus,Online,White/Colourless,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
673,10,6,9,3,0,8,2,2,1,10,5,0,5,5,Others,Online,White/Colourless,Everyday,Never,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
674,5,8,3,3,10,1,6,10,10,7,1,9,10,10,Xiaomi,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Other towns in East,Student
675,2,9,6,7,3,2,9,0,9,9,2,1,6,8,Xiaomi,Online,Orange,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Kolkata,Student
676,10,10,5,8,10,10,0,10,5,5,0,0,0,0,Samsung,Second hand mobile sources,Cola,Never,Never,Less Often,Less Often,Online,Retail Stores,18-23,Female,Other towns in West,Student
677,9,10,9,5,3,3,3,6,8,10,8,8,7,9,One Plus,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in East,Student
678,9,9,3,5,4,0,8,3,8,5,5,0,0,5,Xiaomi,Online,White/Colourless,Never,Less Often,Never,Never,Online,Retail Stores,24-28,Male,Kolkata,Student
679,8,9,6,8,10,7,10,2,8,9,2,2,8,5,Samsung,Online,White/Colourless,Less Often,Less Often,Everyday,Never,Newspaper,Retail Stores,24-28,Male,Mumbai,Student
680,10,10,8,8,10,10,7,6,5,10,8,3,5,5,Xiaomi,Online,Cola,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Mumbai,Student
681,4,7,8,9,8,4,8,7,5,8,8,8,7,7,Apple,Retail,Cola,Everyday,Less Often,Everyday,Never,Newspaper,Retail Stores,18-23,Male,Other towns in South,Student
682,3,9,2,10,3,9,10,8,1,9,0,1,1,2,Xiaomi,Online,I do not consume soft drinks at all,Never,Everyday,Everyday,Everyday,Online,Retail Stores,18-23,Female,Other towns in West,Student
683,8,10,9,7,7,8,3,9,9,10,4,6,6,7,Others,Online,Cola,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
684,5,4,10,10,0,9,6,10,0,10,0,10,10,0,Apple,Online,Cola,Everyday,Everyday,Everyday,Everyday,Online,Online,24-28,Male,Delhi,Student
685,6,9,10,3,5,8,7,0,3,10,6,7,3,7,Apple,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in West,Student
686,8,8,4,7,7,3,1,4,1,8,2,6,6,9,Xiaomi,Online,Cola,Never,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in West,Student
687,4,9,7,7,2,6,9,4,8,8,2,8,7,2,Xiaomi,Online,I do not consume soft drinks at all,Everyday,Less Often,Everyday,Never,Online,Retail Stores,18-23,Female,Kolkata,Student
688,5,5,7,9,9,5,2,5,9,6,1,4,9,2,Apple,Retail,Cola,Never,Never,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in North,Student
689,7,7,9,7,10,7,8,4,2,9,6,5,8,0,Others,Online,Fruit flavour,Less Often,Everyday,Everyday,Less Often,Online,Online,24-28,Male,Other towns in North,Student
690,3,7,7,8,7,2,0,0,8,10,2,7,0,10,Others,Online,Orange,Less Often,Never,Less Often,Less Often,Online,Online,24-28,Male,Other towns in North,Student
691,1,8,2,9,10,1,6,7,7,9,5,4,7,7,Others,Online,Fruit flavour,Less Often,Never,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
692,5,7,7,5,5,8,7,0,8,5,2,1,4,0,Others,Retail,I do not consume soft drinks at all,Never,Less Often,Everyday,Everyday,Newspaper,Retail Stores,24-28,Female,Mumbai,Student
693,5,7,9,8,10,3,7,8,1,0,2,8,8,8,One Plus,Online,Fruit flavour,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
694,3,4,4,7,9,2,9,9,2,8,3,8,9,9,Apple,Online,Orange,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in West,Student
695,4,3,6,0,1,0,4,7,9,3,2,7,8,10,Xiaomi,Online,I do not consume soft drinks at all,Never,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Female,Mumbai,Student
696,4,9,3,0,8,0,7,5,9,9,0,2,1,5,Xiaomi,Online,I do not consume soft drinks at all,Everyday,Never,Everyday,Never,Newspaper,Retail Stores,18-23,Female,Other towns in South,Student
697,5,3,9,10,10,10,6,8,5,6,3,4,7,1,Others,Retail,Fruit flavour,Less Often,Less Often,Everyday,Never,Online,Retail Stores,18-23,Male,Hyderabad,Student
698,8,9,4,4,5,6,2,8,8,8,5,6,3,4,Xiaomi,Online,Cola,Less Often,Everyday,Less Often,Less Often,Online,Retail Stores,24-28,Male,Chennai,Student
699,4,7,5,6,9,4,7,4,8,8,3,7,4,7,Others,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
700,8,9,7,5,9,5,6,3,1,7,2,8,7,1,Xiaomi,Online,White/Colourless,Never,Less Often,Everyday,Less Often,Newspaper,Online,24-28,Male,Other towns in West,Student
701,8,8,6,7,3,5,3,5,9,9,5,8,5,7,Samsung,Online,I do not consume soft drinks at all,Everyday,Never,Everyday,Never,Online,Retail Stores,24-28,Female,Other towns in North,Student
702,4,8,5,8,9,3,5,2,9,8,3,10,7,9,Apple,Online,Cola,Everyday,Less Often,Everyday,Everyday,Online,Retail Stores,24-28,Female,Other towns in East,Student
703,6,7,4,6,10,1,6,5,5,10,4,5,5,7,Apple,Online,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in East,Student
704,3,7,2,6,9,6,5,8,7,7,4,6,7,6,Xiaomi,Online,White/Colourless,Less Often,Less Often,Never,Less Often,Online,Online,24-28,Male,Other towns in East,Student
705,6,10,4,2,3,1,9,1,10,6,5,8,6,10,Others,Online,Cola,Everyday,Less Often,Everyday,Everyday,Online,Online,24-28,Female,Other towns in West,Student
706,2,6,1,5,7,2,1,3,9,8,2,8,5,9,Apple,Online,Fruit flavour,Less Often,Less Often,Less Often,Less Often,Online,Retail Stores,18-23,Female,Other towns in North,Student
707,1,8,5,2,1,3,1,2,9,7,2,7,2,3,Xiaomi,Online,Orange,Less Often,Never,Everyday,Everyday,Online,Retail Stores,18-23,Female,Kolkata,Student
708,7,9,7,6,8,3,6,3,6,6,5,4,3,6,Others,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in North,Student
709,8,8,8,8,10,10,7,2,4,9,2,3,3,5,Samsung,Retail,Cola,Less Often,Never,Never,Never,Newspaper,Retail Stores,18-23,Male,Kolkata,Student
710,7,9,8,8,8,9,8,6,5,8,1,8,8,1,Others,Second hand mobile sources,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Never,Online,Retail Stores,24-28,Male,Other towns in East,Student
711,4,8,3,8,2,4,7,4,8,8,7,4,6,4,Apple,Online,Cola,Everyday,Everyday,Less Often,Never,Online,Online,24-28,Male,Other towns in North,Student
712,8,7,3,6,8,9,2,2,9,5,2,0,7,1,Others,Online,Fruit flavour,Less Often,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in East,Student
713,3,2,3,7,0,8,10,2,1,5,1,9,8,1,Vivo,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Delhi,Student
714,10,8,9,7,9,7,2,2,5,5,0,4,9,4,Others,Retail,I do not consume soft drinks at all,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in West,Student
715,9,8,2,9,10,6,3,0,9,2,1,2,2,5,Samsung,Retail,Orange,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Other towns in West,Student
716,9,9,6,8,10,8,3,8,10,9,2,7,8,7,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Delhi,Student
717,1,1,7,9,10,1,9,2,7,8,3,0,0,1,One Plus,Online,Fruit flavour,Less Often,Less Often,Never,Never,Online,Online,24-28,Male,Other towns in West,Student
718,4,9,6,6,9,3,8,7,7,10,10,10,8,9,Others,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in East,Student
719,2,8,8,3,8,2,9,7,2,10,8,0,3,8,Xiaomi,Online,Cola,Everyday,Less Often,Less Often,Never,Online,Online,18-23,Male,Kolkata,Student
720,1,9,5,7,9,4,4,7,8,9,3,5,5,7,Apple,Retail,Orange,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in East,Working Executive
721,3,9,5,1,6,5,8,3,8,10,2,0,2,5,Xiaomi,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Kolkata,Student
722,10,10,7,8,10,8,3,9,10,10,7,8,8,7,Xiaomi,Online,Orange,Never,Less Often,Everyday,Less Often,Online,Online,24-28,Male,Other towns in West,Student
723,3,8,3,8,0,2,1,7,10,10,5,5,7,7,Xiaomi,Online,Cola,Everyday,Less Often,Everyday,Never,Online,Online,24-28,Male,Delhi,Student
724,10,10,5,5,6,4,8,0,3,10,10,10,5,10,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Never,Online,Online,24-28,Female,Other towns in East,Student
725,4,8,6,10,10,7,6,10,7,10,5,7,6,5,One Plus,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Online,18-23,Male,Other towns in North,Student
726,2,9,3,7,8,10,6,4,3,9,4,3,5,5,Apple,Retail,Fruit flavour,Less Often,Everyday,Less Often,Less Often,Online,Online,18-23,Male,Other towns in East,Student
727,10,3,3,8,3,7,1,10,8,9,8,6,4,1,Xiaomi,Online,White/Colourless,Less Often,Never,Less Often,Less Often,Online,Online,18-23,Female,Delhi,Student
728,9,9,8,7,3,4,3,8,9,10,7,9,8,9,Xiaomi,Retail,White/Colourless,Never,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Delhi,Student
729,7,8,5,6,9,8,3,2,8,8,5,7,4,5,Xiaomi,Retail,Cola,Less Often,Less Often,Everyday,Everyday,Online,Retail Stores,18-23,Female,Other towns in North,Student
730,7,8,8,6,10,5,2,5,3,8,10,6,3,5,Apple,Online,White/Colourless,Everyday,Less Often,Everyday,Never,Online,Online,24-28,Male,Kolkata,Student
731,6,10,6,5,10,8,6,9,9,9,8,7,7,0,Vivo,Retail,Fruit flavour,Never,Less Often,Everyday,Less Often,Online,Online,18-23,Male,Other towns in North,Student
732,2,5,7,8,3,4,10,7,3,7,3,8,9,8,Xiaomi,Online,Orange,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Female,Delhi,Student
733,0,5,7,8,0,10,10,0,7,6,2,0,10,2,Others,Online,Cola,Less Often,Everyday,Everyday,Less Often,Newspaper,Retail Stores,18-23,Male,Other towns in North,Student
734,8,8,9,5,9,10,4,0,5,10,4,7,4,0,Apple,Retail,Orange,Less Often,Less Often,Everyday,Everyday,Newspaper,Retail Stores,18-23,Male,Hyderabad,Student
735,7,9,6,8,2,1,2,10,10,8,3,3,3,10,Apple,Retail,Cola,Everyday,Everyday,Everyday,Never,Online,Retail Stores,24-28,Male,Kolkata,Student
736,8,7,7,8,10,0,8,8,9,9,4,4,8,8,Samsung,Retail,Cola,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,18-23,Male,Other towns in East,Student
737,9,4,9,8,2,10,0,9,2,7,7,9,9,1,Apple,Retail,Cola,Everyday,Everyday,Everyday,Less Often,Online,Online,24-28,Female,Other towns in West,Student
738,3,9,8,5,8,4,7,5,8,8,4,5,6,5,Apple,Retail,Fruit flavour,Never,Never,Everyday,Less Often,Newspaper,Retail Stores,18-23,Male,Mumbai,Student
739,8,8,7,10,1,4,6,8,2,9,2,9,7,6,Xiaomi,Online,Cola,Less Often,Less Often,Everyday,Less Often,Online,Retail Stores,24-28,Male,Other towns in West,Student
740,3,6,10,7,0,2,9,7,10,10,5,9,7,9,Apple,Retail,Cola,Less Often,Never,Everyday,Everyday,Online,Retail Stores,18-23,Female,Other towns in East,Student
741,8,10,10,7,9,0,8,6,8,8,7,8,10,10,Xiaomi,Online,Orange,Everyday,Never,Less Often,Less Often,Online,Online,24-28,Male,Other towns in East,Student
742,6,8,6,5,8,3,8,7,3,7,2,7,6,3,Others,Online,White/Colourless,Less Often,Everyday,Everyday,Never,Online,Online,24-28,Female,Other towns in West,Student
743,2,9,3,7,10,8,2,8,2,5,2,5,2,3,Xiaomi,Online,Cola,Never,Never,Everyday,Everyday,Online,Retail Stores,24-28,Female,Delhi,Student
744,3,6,6,5,7,1,6,2,8,8,4,2,7,8,One Plus,Online,Fruit flavour,Everyday,Less Often,Everyday,Everyday,Online,Online,18-23,Female,Other towns in West,Student
745,7,9,2,3,10,2,6,5,9,8,6,5,3,8,Samsung,Retail,White/Colourless,Everyday,Less Often,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
746,2,8,3,5,8,1,10,8,5,9,5,8,8,9,One Plus,Online,Cola,Less Often,Everyday,Everyday,Less Often,Online,Online,18-23,Female,Other towns in North,Student
747,6,8,8,9,10,6,6,5,2,9,3,8,4,6,Xiaomi,Online,White/Colourless,Less Often,Never,Everyday,Everyday,Online,Online,24-28,Female,Other towns in West,Student
748,4,8,7,9,8,2,8,1,3,9,1,6,7,5,Xiaomi,Retail,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,24-28,Female,Other towns in South,Student
749,6,10,10,4,10,2,1,1,7,9,9,3,4,4,Xiaomi,Online,White/Colourless,Everyday,Everyday,Everyday,Everyday,Online,Retail Stores,24-28,Female,Delhi,Student
750,8,7,5,9,7,8,1,2,2,9,2,1,7,1,Apple,Second hand mobile sources,Cola,Less Often,Everyday,Everyday,Everyday,Newspaper,Online,18-23,Male,Kolkata,Student
751,2,7,8,9,5,5,7,8,8,8,2,5,8,5,Xiaomi,Online,Cola,Everyday,Everyday,Everyday,Less Often,Online,Retail Stores,18-23,Male,Other towns in West,Student
752,8,9,9,2,0,0,7,2,0,10,9,9,2,7,Others,Online,Orange,Everyday,Everyday,Everyday,Never,Online,Retail Stores,24-28,Male,Kolkata,Student
